kind,n,seed,repeat,algo,ms,batch,compares,moves,buffer_bytes,stable_observed,record_bytes
random,65536,20260922,2,merge,4.669000000,2,965782,2097152,1048576,1,16
random,65536,20260922,2,heap,3.463000000,2,1895421,2971275,16,0,16
random,65536,20260923,0,heap,3.049000000,2,1894724,2970285,16,0,16
random,65536,20260923,0,insertion,655.184000000,1,1074990746,1074990742,16,1,16
random,65536,20260923,0,merge,4.459000000,2,965917,2097152,1048576,1,16
random,65536,20260923,1,insertion,652.320000000,1,1074990746,1074990742,16,1,16
random,65536,20260923,1,merge,4.427000000,2,965917,2097152,1048576,1,16
random,65536,20260923,1,heap,3.343500000,2,1894724,2970285,16,0,16
random,65536,20260923,2,merge,4.318500000,2,965917,2097152,1048576,1,16
random,65536,20260923,2,heap,3.161500000,2,1894724,2970285,16,0,16
random,65536,20260923,2,insertion,655.339000000,1,1074990746,1074990742,16,1,16
random,65536,20260924,0,insertion,679.162000000,1,1076070715,1076070714,16,1,16
random,65536,20260924,0,merge,4.617500000,2,965534,2097152,1048576,1,16
random,65536,20260924,0,heap,3.563500000,2,1895094,2970486,16,0,16
random,65536,20260924,1,merge,4.662000000,2,965534,2097152,1048576,1,16
random,65536,20260924,1,heap,3.403500000,2,1895094,2970486,16,0,16
random,65536,20260924,1,insertion,663.264000000,1,1076070715,1076070714,16,1,16
random,65536,20260924,2,heap,3.273500000,2,1895094,2970486,16,0,16
random,65536,20260924,2,insertion,660.994000000,1,1076070715,1076070714,16,1,16
random,65536,20260924,2,merge,4.729500000,2,965534,2097152,1048576,1,16
random,131072,20260922,0,heap,6.885000000,1,4051981,6334047,16,0,16
random,131072,20260922,0,merge,9.872000000,1,2062733,4456448,2097152,1,16
random,131072,20260922,1,merge,9.493000000,1,2062733,4456448,2097152,1,16
random,131072,20260922,1,heap,8.063000000,1,4051981,6334047,16,0,16
random,131072,20260922,2,heap,7.058000000,1,4051981,6334047,16,0,16
random,131072,20260922,2,merge,9.783000000,1,2062733,4456448,2097152,1,16
