kind,n,algo,median_ms,q1_ms,q3_ms,samples,compares,moves,buffer_bytes
reversed,4096,heap,0.091479167,0.090368421,0.0949139255,15,82304,127590,16
reversed,4096,insertion,5.098,5.018,5.15775,15,8390655,8394750,16
few_unique,4096,merge,0.118075,0.1167227565,0.119909936,15,42159,98304,65536
few_unique,4096,heap,0.098702128,0.0977989805,0.10208796049999999,15,77129,119481,16
few_unique,4096,insertion,2.244,2.215,2.262,15,3649936,3649407,16
nearly_sorted,4096,merge,0.060011494,0.059352187,0.060859616000000005,15,24596,98304,65536
nearly_sorted,4096,heap,0.097481481,0.0942292105,0.0993205805,15,88854,144954,16
nearly_sorted,4096,insertion,0.002869,0.002793457,0.0029438475,15,4175,120,16
random,8192,merge,0.4355,0.42925,0.450875,15,96158,212992,131072
random,8192,heap,0.24505,0.243309524,0.25412976200000004,15,187791,297762,16
random,8192,insertion,10.039,9.925,10.097999999999999,15,16724019,16724021,16
sorted,8192,merge,0.130131579,0.128075203,0.1320519745,15,53248,212992,131072
sorted,8192,heap,0.20804,0.20707153849999999,0.2117140465,15,194316,315918,16
sorted,8192,insertion,0.004962891,0.004830078,0.0051611325,15,8191,0,16
reversed,8192,merge,0.127439024,0.125569484,0.12926035149999998,15,53248,212992,131072
reversed,8192,heap,0.2084,0.20598,0.213883077,15,180760,279546,16
reversed,8192,insertion,20.624,20.317999999999998,20.715,15,33558527,33566718,16
few_unique,8192,merge,0.280578947,0.278699013,0.32206250000000003,15,92189,212992,131072
few_unique,8192,heap,0.256,0.243261905,0.290357143,15,168807,260787,16
few_unique,8192,insertion,9.856,9.5215,11.048,15,14695149,14694124,16
nearly_sorted,8192,merge,0.157545455,0.1505236485,0.16258026199999998,15,53284,212992,131072
nearly_sorted,8192,heap,0.246090909,0.2260538845,0.2562188995,15,194316,314937,16
nearly_sorted,8192,insertion,0.007113281,0.006547371,0.007352539,15,8353,243,16
