kind,n,seed,repeat,algo,ms,batch,compares,moves,buffer_bytes,stable_observed,record_bytes
random,65536,20260922,2,merge,4.411000000,2,965782,2097152,1048576,1,16
random,65536,20260922,2,heap,3.124000000,2,1895421,2971275,16,0,16
random,65536,20260923,0,heap,3.156500000,2,1894724,2970285,16,0,16
random,65536,20260923,0,insertion,662.219000000,1,1074990746,1074990742,16,1,16
random,65536,20260923,0,merge,4.768000000,2,965917,2097152,1048576,1,16
random,65536,20260923,1,insertion,660.843000000,1,1074990746,1074990742,16,1,16
random,65536,20260923,1,merge,4.465000000,2,965917,2097152,1048576,1,16
random,65536,20260923,1,heap,3.039500000,2,1894724,2970285,16,0,16
random,65536,20260923,2,merge,4.472000000,2,965917,2097152,1048576,1,16
random,65536,20260923,2,heap,3.024500000,2,1894724,2970285,16,0,16
random,65536,20260923,2,insertion,659.347000000,1,1074990746,1074990742,16,1,16
random,65536,20260924,0,insertion,665.822000000,1,1076070715,1076070714,16,1,16
random,65536,20260924,0,merge,4.598000000,2,965534,2097152,1048576,1,16
random,65536,20260924,0,heap,3.104500000,2,1895094,2970486,16,0,16
random,65536,20260924,1,merge,4.591000000,2,965534,2097152,1048576,1,16
random,65536,20260924,1,heap,3.156000000,2,1895094,2970486,16,0,16
random,65536,20260924,1,insertion,654.147000000,1,1076070715,1076070714,16,1,16
random,65536,20260924,2,heap,3.166500000,2,1895094,2970486,16,0,16
random,65536,20260924,2,insertion,646.292000000,1,1076070715,1076070714,16,1,16
random,65536,20260924,2,merge,4.392000000,2,965534,2097152,1048576,1,16
random,131072,20260922,0,merge,9.581000000,1,2062733,4456448,2097152,1,16
random,131072,20260922,0,heap,6.979000000,1,4051981,6334047,16,0,16
random,131072,20260922,0,insertion,2611.905000000,1,4301667599,4301667605,16,1,16
random,131072,20260922,1,heap,7.043000000,1,4051981,6334047,16,0,16
random,131072,20260922,1,insertion,2591.231000000,1,4301667599,4301667605,16,1,16
random,131072,20260922,1,merge,9.640000000,1,2062733,4456448,2097152,1,16
random,131072,20260922,2,insertion,2589.316000000,1,4301667599,4301667605,16,1,16
random,131072,20260922,2,merge,9.529000000,1,2062733,4456448,2097152,1,16
random,131072,20260922,2,heap,6.840000000,1,4051981,6334047,16,0,16
random,131072,20260923,0,heap,6.805000000,1,4051633,6332787,16,0,16
random,131072,20260923,0,insertion,2646.792000000,1,4300739042,4300739039,16,1,16
random,131072,20260923,0,merge,9.504000000,1,2062606,4456448,2097152,1,16
random,131072,20260923,1,insertion,2602.021000000,1,4300739042,4300739039,16,1,16
random,131072,20260923,1,merge,9.615000000,1,2062606,4456448,2097152,1,16
random,131072,20260923,1,heap,6.895000000,1,4051633,6332787,16,0,16
random,131072,20260923,2,merge,9.614000000,1,2062606,4456448,2097152,1,16
random,131072,20260923,2,heap,6.876000000,1,4051633,6332787,16,0,16
random,131072,20260923,2,insertion,2594.366000000,1,4300739042,4300739039,16,1,16
random,131072,20260924,0,insertion,2697.434000000,1,4304651500,4304651501,16,1,16
random,131072,20260924,0,merge,9.582000000,1,2062657,4456448,2097152,1,16
random,131072,20260924,0,heap,6.789000000,1,4052054,6334785,16,0,16
random,131072,20260924,1,merge,9.528000000,1,2062657,4456448,2097152,1,16
random,131072,20260924,1,heap,6.889000000,1,4052054,6334785,16,0,16
random,131072,20260924,1,insertion,2611.929000000,1,4304651500,4304651501,16,1,16
random,131072,20260924,2,heap,6.856000000,1,4052054,6334785,16,0,16
random,131072,20260924,2,insertion,2599.646000000,1,4304651500,4304651501,16,1,16
random,131072,20260924,2,merge,9.321000000,1,2062657,4456448,2097152,1,16
random,262144,20260922,0,merge,22.018000000,1,4387534,9437184,4194304,1,16
random,262144,20260922,0,heap,17.077000000,1,8627852,13454478,16,0,16
random,262144,20260922,0,insertion,10424.032000000,1,17197760667,17197760673,16,1,16
random,262144,20260922,1,heap,15.688000000,1,8627852,13454478,16,0,16
random,262144,20260922,1,insertion,10392.024000000,1,17197760667,17197760673,16,1,16
random,262144,20260922,1,merge,20.594000000,1,4387534,9437184,4194304,1,16
random,262144,20260922,2,insertion,10403.554000000,1,17197760667,17197760673,16,1,16
random,262144,20260922,2,merge,20.349000000,1,4387534,9437184,4194304,1,16
random,262144,20260922,2,heap,15.429000000,1,8627852,13454478,16,0,16
random,262144,20260923,0,heap,15.508000000,1,8628328,13453467,16,0,16
random,262144,20260923,0,insertion,10382.330000000,1,17223324871,17223324867,16,1,16
random,262144,20260923,0,merge,20.286000000,1,4387365,9437184,4194304,1,16
random,262144,20260923,1,insertion,10380.242000000,1,17223324871,17223324867,16,1,16
random,262144,20260923,1,merge,20.412000000,1,4387365,9437184,4194304,1,16
random,262144,20260923,1,heap,15.490000000,1,8628328,13453467,16,0,16
random,262144,20260923,2,merge,20.143000000,1,4387365,9437184,4194304,1,16
random,262144,20260923,2,heap,15.557000000,1,8628328,13453467,16,0,16
random,262144,20260923,2,insertion,10422.533000000,1,17223324871,17223324867,16,1,16
random,262144,20260924,0,insertion,10356.767000000,1,17160785199,17160785200,16,1,16
random,262144,20260924,0,merge,20.436000000,1,4387227,9437184,4194304,1,16
random,262144,20260924,0,heap,15.718000000,1,8627984,13455174,16,0,16
random,262144,20260924,1,merge,20.272000000,1,4387227,9437184,4194304,1,16
random,262144,20260924,1,heap,15.442000000,1,8627984,13455174,16,0,16
random,262144,20260924,1,insertion,10334.936000000,1,17160785199,17160785200,16,1,16
random,262144,20260924,2,heap,15.358000000,1,8627984,13455174,16,0,16
random,262144,20260924,2,insertion,10332.938000000,1,17160785199,17160785200,16,1,16
random,262144,20260924,2,merge,20.189000000,1,4387227,9437184,4194304,1,16
random,524288,20260922,0,merge,43.647000000,1,9298921,19922944,8388608,1,16
random,524288,20260922,0,heap,35.097000000,1,18303145,28477704,16,0,16
random,524288,20260922,0,insertion,42857.783000000,1,68696280312,68696280321,16,1,16
random,524288,20260922,1,heap,34.712000000,1,18303145,28477704,16,0,16
random,524288,20260922,1,insertion,42649.900000000,1,68696280312,68696280321,16,1,16
random,524288,20260922,1,merge,42.597000000,1,9298921,19922944,8388608,1,16
random,524288,20260922,2,insertion,42049.368000000,1,68696280312,68696280321,16,1,16
random,524288,20260922,2,merge,42.332000000,1,9298921,19922944,8388608,1,16
random,524288,20260922,2,heap,34.229000000,1,18303145,28477704,16,0,16
random,524288,20260923,0,heap,34.080000000,1,18305116,28483161,16,0,16
random,524288,20260923,0,insertion,42019.228000000,1,68719400661,68719400657,16,1,16
random,524288,20260923,0,merge,42.397000000,1,9298778,19922944,8388608,1,16
random,524288,20260923,1,insertion,41972.105000000,1,68719400661,68719400657,16,1,16
random,524288,20260923,1,merge,42.436000000,1,9298778,19922944,8388608,1,16
random,524288,20260923,1,heap,33.745000000,1,18305116,28483161,16,0,16
random,524288,20260923,2,merge,42.104000000,1,9298778,19922944,8388608,1,16
random,524288,20260923,2,heap,33.751000000,1,18305116,28483161,16,0,16
random,524288,20260923,2,insertion,41957.597000000,1,68719400661,68719400657,16,1,16
random,524288,20260924,0,insertion,42082.083000000,1,68715713527,68715713528,16,1,16
random,524288,20260924,0,merge,42.225000000,1,9298333,19922944,8388608,1,16
random,524288,20260924,0,heap,33.910000000,1,18304835,28482969,16,0,16
random,524288,20260924,1,merge,41.844000000,1,9298333,19922944,8388608,1,16
random,524288,20260924,1,heap,34.045000000,1,18304835,28482969,16,0,16
random,524288,20260924,1,insertion,42015.200000000,1,68715713527,68715713528,16,1,16
random,524288,20260924,2,heap,34.044000000,1,18304835,28482969,16,0,16
random,524288,20260924,2,insertion,42459.076000000,1,68715713527,68715713528,16,1,16
random,524288,20260924,2,merge,42.629000000,1,9298333,19922944,8388608,1,16
random,1048576,20260922,0,merge,92.326000000,1,19646389,41943040,16777216,1,16
random,1048576,20260922,0,heap,88.180000000,1,38703779,60101091,16,0,16
random,1048576,20260922,0,insertion,177139.934000000,1,275070919157,275070919164,16,1,16
random,1048576,20260922,1,heap,92.790000000,1,38703779,60101091,16,0,16
random,1048576,20260922,1,insertion,178222.935000000,1,275070919157,275070919164,16,1,16
random,1048576,20260922,1,merge,91.488000000,1,19646389,41943040,16777216,1,16
random,1048576,20260922,2,insertion,175921.167000000,1,275070919157,275070919164,16,1,16
random,1048576,20260922,2,merge,90.081000000,1,19646389,41943040,16777216,1,16
random,1048576,20260922,2,heap,80.525000000,1,38703779,60101091,16,0,16
random,1048576,20260923,0,heap,82.651000000,1,38705836,60105669,16,0,16
random,1048576,20260923,0,insertion,176140.172000000,1,275176858040,275176858034,16,1,16
random,1048576,20260923,0,merge,90.688000000,1,19646022,41943040,16777216,1,16
random,1048576,20260923,1,insertion,176101.121000000,1,275176858040,275176858034,16,1,16
random,1048576,20260923,1,merge,93.033000000,1,19646022,41943040,16777216,1,16
random,1048576,20260923,1,heap,87.713000000,1,38705836,60105669,16,0,16
random,1048576,20260923,2,merge,89.190000000,1,19646022,41943040,16777216,1,16
random,1048576,20260923,2,heap,80.372000000,1,38705836,60105669,16,0,16
random,1048576,20260923,2,insertion,176099.707000000,1,275176858040,275176858034,16,1,16
random,1048576,20260924,0,insertion,181632.336000000,1,275057849362,275057849363,16,1,16
random,1048576,20260924,0,merge,94.927000000,1,19645940,41943040,16777216,1,16
random,1048576,20260924,0,heap,95.246000000,1,38706733,60108033,16,0,16
random,1048576,20260924,1,merge,92.349000000,1,19645940,41943040,16777216,1,16
random,1048576,20260924,1,heap,97.153000000,1,38706733,60108033,16,0,16
random,1048576,20260924,1,insertion,189697.060000000,1,275057849362,275057849363,16,1,16
random,1048576,20260924,2,heap,80.462000000,1,38706733,60108033,16,0,16
random,1048576,20260924,2,insertion,176528.763000000,1,275057849362,275057849363,16,1,16
random,1048576,20260924,2,merge,94.072000000,1,19645940,41943040,16777216,1,16
