kind,n,seed,repeat,algo,ms,batch,compares,moves,buffer_bytes,stable_observed,record_bytes
sorted,256,20260924,1,heap,0.004201439,1251,3452,5916,16,1,16
sorted,256,20260924,1,insertion,0.000181641,4096,255,0,16,1,16
sorted,256,20260924,2,heap,0.003973621,1251,3452,5916,16,1,16
sorted,256,20260924,2,insertion,0.000156250,4096,255,0,16,1,16
sorted,256,20260924,2,merge,0.002759392,1251,1024,4096,4096,1,16
sorted,256,20260924,3,insertion,0.000156494,4096,255,0,16,1,16
sorted,256,20260924,3,merge,0.002817746,1251,1024,4096,4096,1,16
sorted,256,20260924,3,heap,0.004020783,1251,3452,5916,16,1,16
sorted,256,20260924,4,merge,0.002798561,1251,1024,4096,4096,1,16
sorted,256,20260924,4,heap,0.004142286,1251,3452,5916,16,1,16
sorted,256,20260924,4,insertion,0.000158447,4096,255,0,16,1,16
reversed,256,20260922,0,merge,0.002671463,1251,1024,4096,4096,1,16
reversed,256,20260922,0,heap,0.003344000,1000,3106,4926,16,1,16
reversed,256,20260922,0,insertion,0.021903766,239,32895,33150,16,1,16
reversed,256,20260922,1,heap,0.003498000,1000,3106,4926,16,1,16
reversed,256,20260922,1,insertion,0.021711297,239,32895,33150,16,1,16
reversed,256,20260922,1,merge,0.002801759,1251,1024,4096,4096,1,16
reversed,256,20260922,2,insertion,0.021364017,239,32895,33150,16,1,16
reversed,256,20260922,2,merge,0.002621103,1251,1024,4096,4096,1,16
reversed,256,20260922,2,heap,0.003326000,1000,3106,4926,16,1,16
reversed,256,20260922,3,merge,0.002741007,1251,1024,4096,4096,1,16
reversed,256,20260922,3,heap,0.003464000,1000,3106,4926,16,1,16
reversed,256,20260922,3,insertion,0.021313808,239,32895,33150,16,1,16
reversed,256,20260922,4,heap,0.003330000,1000,3106,4926,16,1,16
reversed,256,20260922,4,insertion,0.021334728,239,32895,33150,16,1,16
reversed,256,20260922,4,merge,0.002754596,1251,1024,4096,4096,1,16
reversed,256,20260923,0,heap,0.003362110,1251,3106,4926,16,1,16
reversed,256,20260923,0,insertion,0.020736402,239,32895,33150,16,1,16
reversed,256,20260923,0,merge,0.002710258,1667,1024,4096,4096,1,16
reversed,256,20260923,1,insertion,0.021635983,239,32895,33150,16,1,16
reversed,256,20260923,1,merge,0.002686263,1667,1024,4096,4096,1,16
reversed,256,20260923,1,heap,0.003365308,1251,3106,4926,16,1,16
reversed,256,20260923,2,merge,0.002806839,1667,1024,4096,4096,1,16
reversed,256,20260923,2,heap,0.003561950,1251,3106,4926,16,1,16
reversed,256,20260923,2,insertion,0.021251046,239,32895,33150,16,1,16
reversed,256,20260923,3,heap,0.003584333,1251,3106,4926,16,1,16
reversed,256,20260923,3,insertion,0.021100418,239,32895,33150,16,1,16
reversed,256,20260923,3,merge,0.002686863,1667,1024,4096,4096,1,16
reversed,256,20260923,4,insertion,0.021665272,239,32895,33150,16,1,16
reversed,256,20260923,4,merge,0.002654469,1667,1024,4096,4096,1,16
reversed,256,20260923,4,heap,0.003374900,1251,3106,4926,16,1,16
reversed,256,20260924,0,insertion,0.020860000,250,32895,33150,16,1,16
reversed,256,20260924,0,merge,0.002785243,1667,1024,4096,4096,1,16
reversed,256,20260924,0,heap,0.003313737,1667,3106,4926,16,1,16
reversed,256,20260924,1,merge,0.002659268,1667,1024,4096,4096,1,16
reversed,256,20260924,1,heap,0.003551290,1667,3106,4926,16,1,16
reversed,256,20260924,1,insertion,0.020684000,250,32895,33150,16,1,16
reversed,256,20260924,2,heap,0.003399520,1667,3106,4926,16,1,16
reversed,256,20260924,2,insertion,0.021060000,250,32895,33150,16,1,16
reversed,256,20260924,2,merge,0.002688062,1667,1024,4096,4096,1,16
reversed,256,20260924,3,insertion,0.020932000,250,32895,33150,16,1,16
reversed,256,20260924,3,merge,0.002764847,1667,1024,4096,4096,1,16
reversed,256,20260924,3,heap,0.003395921,1667,3106,4926,16,1,16
reversed,256,20260924,4,merge,0.002712058,1667,1024,4096,4096,1,16
reversed,256,20260924,4,heap,0.003475105,1667,3106,4926,16,1,16
reversed,256,20260924,4,insertion,0.020936000,250,32895,33150,16,1,16
few_unique,256,20260922,0,merge,0.003581470,626,1693,4096,4096,1,16
few_unique,256,20260922,0,heap,0.003426859,834,3124,4950,16,0,16
few_unique,256,20260922,0,insertion,0.010509890,455,14785,14756,16,1,16
few_unique,256,20260922,1,heap,0.003425659,834,3124,4950,16,0,16
few_unique,256,20260922,1,insertion,0.010019780,455,14785,14756,16,1,16
few_unique,256,20260922,1,merge,0.003654952,626,1693,4096,4096,1,16
few_unique,256,20260922,2,insertion,0.010404396,455,14785,14756,16,1,16
few_unique,256,20260922,2,merge,0.003793930,626,1693,4096,4096,1,16
few_unique,256,20260922,2,heap,0.003422062,834,3124,4950,16,0,16
few_unique,256,20260922,3,merge,0.003662939,626,1693,4096,4096,1,16
few_unique,256,20260922,3,heap,0.003422062,834,3124,4950,16,0,16
few_unique,256,20260922,3,insertion,0.010334066,455,14785,14756,16,1,16
few_unique,256,20260922,4,heap,0.003442446,834,3124,4950,16,0,16
few_unique,256,20260922,4,insertion,0.010096703,455,14785,14756,16,1,16
few_unique,256,20260922,4,merge,0.003627796,626,1693,4096,4096,1,16
few_unique,256,20260923,0,heap,0.003380000,1000,3109,4887,16,0,16
few_unique,256,20260923,0,insertion,0.010200000,500,15052,15016,16,1,16
few_unique,256,20260923,0,merge,0.003821086,626,1659,4096,4096,1,16
few_unique,256,20260923,1,insertion,0.010320000,500,15052,15016,16,1,16
few_unique,256,20260923,1,merge,0.003710863,626,1659,4096,4096,1,16
few_unique,256,20260923,1,heap,0.003577000,1000,3109,4887,16,0,16
few_unique,256,20260923,2,merge,0.003678914,626,1659,4096,4096,1,16
few_unique,256,20260923,2,heap,0.003233000,1000,3109,4887,16,0,16
few_unique,256,20260923,2,insertion,0.010178000,500,15052,15016,16,1,16
few_unique,256,20260923,3,heap,0.003489000,1000,3109,4887,16,0,16
few_unique,256,20260923,3,insertion,0.010304000,500,15052,15016,16,1,16
few_unique,256,20260923,3,merge,0.003680511,626,1659,4096,4096,1,16
few_unique,256,20260923,4,insertion,0.010116000,500,15052,15016,16,1,16
few_unique,256,20260923,4,merge,0.003921725,626,1659,4096,4096,1,16
few_unique,256,20260923,4,heap,0.003251000,1000,3109,4887,16,0,16
few_unique,256,20260924,0,insertion,0.010816000,500,15519,15496,16,1,16
few_unique,256,20260924,0,merge,0.003867412,626,1695,4096,4096,1,16
few_unique,256,20260924,0,heap,0.003313000,1000,3013,4731,16,0,16
few_unique,256,20260924,1,merge,0.004233227,626,1695,4096,4096,1,16
few_unique,256,20260924,1,heap,0.003437000,1000,3013,4731,16,0,16
few_unique,256,20260924,1,insertion,0.011528000,500,15519,15496,16,1,16
few_unique,256,20260924,2,heap,0.003526000,1000,3013,4731,16,0,16
few_unique,256,20260924,2,insertion,0.011386000,500,15519,15496,16,1,16
few_unique,256,20260924,2,merge,0.003974441,626,1695,4096,4096,1,16
few_unique,256,20260924,3,insertion,0.011072000,500,15519,15496,16,1,16
